feature_set,n_features,best_params,best_cv_score,test_accuracy
mav+rms+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.7777777777777778
mav+rms+mean_freq+median_freq,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.9047619047619048,0.75
mav+wl+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.8055555555555556
mav+wl+ssc+wamp,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8611111111111112
mav+wl+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8611111111111112
mav+wl+ssc+median_freq,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8452380952380952,0.75
mav+wl+zc+wamp,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8452380952380952,0.75
mav+wl+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8888888888888888
mav+wl+zc+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8055555555555556
mav+wl+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.8888888888888888
